node1,node2,sim_out,sim_in,sim_both,avg_del,avg_del_normed
5,36,0.253280,0.701383,62.824882,29.440689,0.105773
5,37,0.239302,0.716563,70.594499,39.172956,0.140739
5,38,0.320139,0.729506,70.760232,46.654716,0.167619
5,39,0.199803,0.938274,67.640706,35.794421,0.128600
5,40,0.329276,0.721539,56.249061,24.394814,0.087644
5,41,0.319895,0.796179,54.316897,29.403150,0.105638
5,42,0.394361,0.724923,67.589400,40.204817,0.144446
5,43,0.690642,0.809912,113.932159,95.288655,0.342348
5,44,0.151574,0.734133,170.371682,30.364213,0.109091
5,45,0.157371,0.721249,123.669802,51.484882,0.184972
5,46,0.216360,0.835253,136.877559,98.876546,0.355239
5,47,0.747331,0.827743,127.235539,123.592217,0.444036
5,48,0.169693,0.906574,87.904174,34.630175,0.124418
6,7,0.176149,0.611792,34.966591,27.431168,0.098553
6,8,0.219263,0.472850,34.629496,18.936237,0.068033
6,9,0.246008,0.565410,37.841134,24.250787,0.087127
6,10,0.451671,0.627066,51.387792,31.152222,0.111922
6,11,0.201428,0.693986,67.321512,35.062035,0.125969
6,12,0.196690,0.691061,68.769711,36.802756,0.132223
6,13,0.209999,0.702551,53.659752,25.471712,0.091513
6,14,0.195810,0.666192,63.047490,37.762945,0.135673
6,15,0.208161,0.745119,56.627154,27.557085,0.099006
6,16,0.208590,0.724443,58.873213,28.671503,0.103009
6,17,0.217849,0.722066,57.666459,28.458113,0.102243
6,18,0.178259,0.721375,68.096545,28.213647,0.101365
6,19,0.239971,0.700147,63.596827,41.854292,0.150372
6,20,0.299224,0.702590,62.539743,40.363463,0.145016
6,21,0.178382,0.705515,71.420346,31.068385,0.111621
6,22,0.307415,0.718659,71.421186,50.712462,0.182197
6,23,0.407235,0.691600,56.432670,35.982625,0.129277
6,24,0.660370,0.699919,66.936343,59.309065,0.213083
6,25,0.647697,0.773321,47.121593,30.700516,0.110299
6,26,0.242273,0.681470,66.724971,57.845997,0.207826
6,27,0.147707,0.850310,173.693758,35.746127,0.128427
6,28,0.901031,0.752171,98.544336,66.629711,0.239384
6,29,1.065990,0.726028,83.863357,55.076960,0.197878
6,30,1.056157,0.782104,119.148977,83.784287,0.301016
6,31,0.213837,0.745042,58.127605,29.255963,0.105109
6,32,0.204302,0.723707,60.756285,29.028781,0.104293
6,33,0.253139,0.706607,62.345399,35.192484,0.126438
6,34,0.219189,0.712302,60.905703,33.730704,0.121186
6,35,0.253801,0.755615,53.224735,34.592738,0.124283
6,36,0.215640,0.706448,60.843243,31.437481,0.112947
6,37,0.206714,0.707922,68.749731,39.708452,0.142662
6,38,0.263495,0.714849,68.918077,46.472496,0.166964
6,39,0.180307,0.949386,65.712265,42.099877,0.151254
6,40,0.270093,0.739539,53.914674,29.793348,0.107040
6,41,0.263313,0.822144,51.895855,35.743600,0.128418
6,42,0.318143,0.712132,65.658117,41.078377,0.147584
6,43,0.561940,0.784238,112.769775,93.699069,0.336637
6,44,0.149489,0.757889,169.732486,36.518317,0.131201
6,45,0.152859,0.704849,122.844015,50.778885,0.182436
6,46,0.190682,0.809995,135.986338,98.019790,0.352160
6,47,0.615977,0.802220,126.180362,121.254175,0.435636
6,48,0.160766,0.922835,86.521011,40.960127,0.147159
7,8,0.064241,0.384088,14.427953,23.526085,0.084523
7,9,0.119187,0.442268,17.204453,11.366440,0.040837
7,10,0.270847,0.674138,33.763069,37.346622,0.134177
7,11,0.166441,0.785915,53.691327,33.778970,0.121359
7,12,0.164249,0.787905,55.641981,40.098619,0.144064
7,13,0.159695,0.625291,35.205705,22.449886,0.080657
7,14,0.159296,0.724606,48.365671,46.913098,0.168547
7,15,0.167397,0.678672,39.187602,16.651893,0.059826
7,16,0.170072,0.721404,42.449151,20.619986,0.074082
7,17,0.174008,0.720047,40.771197,21.438846,0.077024
7,18,0.157786,0.722429,54.445655,23.032833,0.082751
7,19,0.184773,0.791130,48.875607,50.530425,0.181543
7,20,0.214431,0.799211,47.505817,47.269694,0.169828
7,21,0.159290,0.756556,58.680611,32.400952,0.116408
7,22,0.220976,0.837871,58.749905,59.147464,0.212502
7,23,0.268953,0.759601,39.247066,42.707497,0.153437
7,24,0.439808,0.813765,53.547666,71.513642,0.256931
7,25,0.427287,0.645508,24.022652,10.438277,0.037502
7,26,0.178987,0.789122,53.413223,70.602335,0.253656
7,27,0.145637,0.686978,168.724428,10.559847,0.037939
7,28,0.698198,0.875544,90.680604,68.948576,0.247715
7,29,1.074226,0.852343,74.267476,54.679566,0.196450
7,30,1.023845,0.897365,112.907408,88.439300,0.317740
7,31,0.175784,0.719825,41.605673,16.604788,0.059657
7,32,0.170463,0.733086,45.113709,21.253781,0.076359
7,33,0.194977,0.795695,47.342062,28.725853,0.103205
7,34,0.178622,0.763034,45.429286,20.903473,0.075101
7,35,0.190646,0.707083,34.225386,13.225759,0.047517
7,36,0.173517,0.757525,45.157371,34.093284,0.122489
7,37,0.172832,0.807957,55.504858,45.987864,0.165223
7,38,0.200247,0.829654,55.718242,54.475080,0.195715
7,39,0.161056,0.866730,51.701589,16.337589,0.058697
7,40,0.203536,0.725970,35.518866,16.922150,0.060797
7,41,0.200120,0.709431,32.374158,11.296077,0.040584
7,42,0.228787,0.822865,51.633992,45.769520,0.164438
7,43,0.370613,0.900930,105.434842,104.312219,0.374768
7,44,0.147339,0.700125,164.653538,13.742108,0.049372
7,45,0.147688,0.821731,115.751576,60.291544,0.216612
7,46,0.162829,0.918690,129.717173,105.364411,0.378548
7,47,0.410281,0.912434,119.541670,134.269500,0.482397
7,48,0.151754,0.807490,76.224278,15.149894,0.054430
8,9,0.094742,0.320174,15.840357,15.668670,0.056294
8,10,0.222288,0.440708,27.928773,19.886349,0.071447
8,11,0.156889,0.682127,54.309840,28.972320,0.104090
8,12,0.155718,0.675911,55.858338,30.610209,0.109975
8,13,0.142672,0.543603,34.741568,15.380156,0.055257
8,14,0.146799,0.569163,46.107391,30.264701,0.108733
8,15,0.155350,0.667379,41.045730,20.315544,0.072989
8,16,0.160122,0.683860,44.752012,22.043786,0.079198
8,17,0.162586,0.678605,43.069771,21.656944,0.077808
8,18,0.152490,0.680226,56.077708,21.307660,0.076553
8,19,0.170656,0.698883,50.421881,36.869594,0.132463
8,20,0.192387,0.708079,49.307089,35.311083,0.126864
8,21,0.155088,0.686978,60.352078,24.731519,0.088854
8,22,0.199991,0.746594,60.378225,46.739494,0.167923
