beta1	beta2	beta3	lmax
1.711360e+01	1.492930e+01	2.402157e+01	-9.410346
1.711365e+01	1.492928e+01	2.402151e+01	-9.410343
1.711371e+01	1.492928e+01	2.402146e+01	-9.410345
1.711377e+01	1.492926e+01	2.402139e+01	-9.410344
1.711383e+01	1.492925e+01	2.402132e+01	-9.410342
1.711388e+01	1.492923e+01	2.402129e+01	-9.410341
1.711394e+01	1.492923e+01	2.402122e+01	-9.410344
1.711400e+01	1.492921e+01	2.402117e+01	-9.410343
1.711405e+01	1.492919e+01	2.402111e+01	-9.410343
1.711411e+01	1.492918e+01	2.402105e+01	-9.410344
1.711417e+01	1.492917e+01	2.402101e+01	-9.410349
1.711422e+01	1.492916e+01	2.402097e+01	-9.410345
1.711428e+01	1.492916e+01	2.402089e+01	-9.410345
1.711434e+01	1.492912e+01	2.402085e+01	-9.410346
1.711440e+01	1.492913e+01	2.402081e+01	-9.410345
1.711445e+01	1.492912e+01	2.402073e+01	-9.410342
1.711451e+01	1.492908e+01	2.402068e+01	-9.410343
1.711457e+01	1.492908e+01	2.402064e+01	-9.410345
1.711462e+01	1.492908e+01	2.402056e+01	-9.410341
1.711468e+01	1.492906e+01	2.402052e+01	-9.410343
1.711474e+01	1.492905e+01	2.402046e+01	-9.410341
1.711480e+01	1.492904e+01	2.402042e+01	-9.410343
1.711485e+01	1.492901e+01	2.402036e+01	-9.410343
1.711491e+01	1.492902e+01	2.402029e+01	-9.410341
1.711497e+01	1.492900e+01	2.402026e+01	-9.410343
1.711502e+01	1.492898e+01	2.402021e+01	-9.410345
1.711508e+01	1.492898e+01	2.402014e+01	-9.410343
1.711514e+01	1.492897e+01	2.402010e+01	-9.410343
1.711519e+01	1.492894e+01	2.402005e+01	-9.410343
1.711525e+01	1.492893e+01	2.401998e+01	-9.410341
1.711531e+01	1.492893e+01	2.401992e+01	-9.410341
1.711537e+01	1.492892e+01	2.401988e+01	-9.410343
1.711542e+01	1.492890e+01	2.401983e+01	-9.410343
1.711548e+01	1.492890e+01	2.401976e+01	-9.410345
1.711554e+01	1.492889e+01	2.401971e+01	-9.410340
1.711559e+01	1.492887e+01	2.401966e+01	-9.410343
1.711565e+01	1.492886e+01	2.401961e+01	-9.410341
1.711571e+01	1.492885e+01	2.401954e+01	-9.410341
1.711577e+01	1.492883e+01	2.401949e+01	-9.410341
1.711582e+01	1.492883e+01	2.401946e+01	-9.410345
1.711588e+01	1.492880e+01	2.401940e+01	-9.410342
1.711594e+01	1.492879e+01	2.401934e+01	-9.410343
1.711599e+01	1.492878e+01	2.401928e+01	-9.410341
1.711605e+01	1.492876e+01	2.401924e+01	-9.410345
1.711611e+01	1.492876e+01	2.401917e+01	-9.410341
1.711616e+01	1.492875e+01	2.401912e+01	-9.410341
1.711622e+01	1.492873e+01	2.401906e+01	-9.410339
1.711628e+01	1.492872e+01	2.401901e+01	-9.410339
1.711634e+01	1.492870e+01	2.401894e+01	-9.410341
1.711639e+01	1.492870e+01	2.401890e+01	-9.410339
1.711645e+01	1.492869e+01	2.401884e+01	-9.410340
1.711651e+01	1.492867e+01	2.401879e+01	-9.410339
1.711656e+01	1.492866e+01	2.401874e+01	-9.410342
