beta1	beta2	beta3	dist	lmax
1.689046526408750e+01	1.497800294177603e+01	2.424256012263278e+01	7.287464897462003	-9.408723467657353
1.688825631502596e+01	1.497849216500597e+01	2.424484143314156e+01	7.289600754125962	-9.408686476372784
1.688604163523098e+01	1.497898138823592e+01	2.424713792821619e+01	7.291752089965772	-9.408650836121389
1.688384123535970e+01	1.497947061146587e+01	2.424941510558413e+01	7.293885054416291	-9.408614005655796
1.688162330894881e+01	1.497995983469581e+01	2.425171250869797e+01	7.296039049232807	-9.408576235489644
1.687943089994949e+01	1.498044905792576e+01	2.425398690116319e+01	7.298170415014620	-9.408538307825847
1.687720808125529e+01	1.498093828115571e+01	2.425629890790507e+01	7.300340082483737	-9.408501668362847
1.687499965329594e+01	1.498142750438565e+01	2.425859267763294e+01	7.302492372900161	-9.408462722039403
1.687278969375387e+01	1.498191672761560e+01	2.426089321389709e+01	7.304651930502624	-9.408424330562724
1.687058269154586e+01	1.498240595084554e+01	2.426318678589023e+01	7.306805508409706	-9.408383830584679
1.686837462274805e+01	1.498289517407549e+01	2.426549141120332e+01	7.308970358767161	-9.408345293276019
1.686615663139986e+01	1.498338439730544e+01	2.426780144107879e+01	7.311141782922268	-9.408304016884415
1.686396252132798e+01	1.498387362053538e+01	2.427009452944985e+01	7.313296351514094	-9.408264699325814
1.686175452153417e+01	1.498436284376533e+01	2.427240190927625e+01	7.315466144066008	-9.408223267510191
1.685956125199922e+01	1.498485206699528e+01	2.427469191607378e+01	7.317619303004104	-9.408181892237298
1.685736261531710e+01	1.498534129022522e+01	2.427699312517410e+01	7.319784173682628	-9.408140324984368
1.685513386091267e+01	1.498583051345517e+01	2.427932495222787e+01	7.321980829886444	-9.408097638433386
1.685293983801046e+01	1.498631973668512e+01	2.428162551764772e+01	7.324146323128115	-9.408055330446238
1.685074792179065e+01	1.498680895991506e+01	2.428392508431585e+01	7.326311495128170	-9.408012340909139
1.684853828857066e+01	1.498729818314501e+01	2.428624767728698e+01	7.328500421935741	-9.407969906317788
1.684632598780712e+01	1.498778740637496e+01	2.428856885057075e+01	7.330688985722384	-9.407925049598635
1.684414010742635e+01	1.498827662960490e+01	2.429086670727381e+01	7.332854425789622	-9.407880393502900
1.684193559232787e+01	1.498876585283485e+01	2.429319147611913e+01	7.335047362210060	-9.407837256616411
1.683975295048211e+01	1.498925507606480e+01	2.429549077500813e+01	7.337215457994774	-9.407792088717343
1.683754020845043e+01	1.498974429929474e+01	2.429782487381411e+01	7.339419341179448	-9.407747114300566
1.683534417292827e+01	1.499023352252469e+01	2.430014348001631e+01	7.341608161790110	-9.407701656931836
1.683313505880249e+01	1.499072274575463e+01	2.430247303477306e+01	7.343809045526077	-9.407654287959438
1.683094525624844e+01	1.499121196898458e+01	2.430478863568845e+01	7.345996108659098	-9.407607854961931
1.682876011620034e+01	1.499170119221453e+01	2.430710302438895e+01	7.348182443368451	-9.407561567978220
1.682654701215096e+01	1.499219041544447e+01	2.430944398439538e+01	7.350396693678112	-9.407513412985253
1.682435830198409e+01	1.499267963867442e+01	2.431176386675864e+01	7.352590006587699	-9.407465603421890
1.682216060834964e+01	1.499316886190437e+01	2.431409601335018e+01	7.354796325292485	-9.407417699873161
1.681997229450084e+01	1.499365808513431e+01	2.431642092123525e+01	7.356995871860400	-9.407369572823175
1.681778209410884e+01	1.499414730836426e+01	2.431874797972538e+01	7.359198350610360	-9.407320450742681
1.681559305787393e+01	1.499463653159421e+01	2.432107601729017e+01	7.361402424197307	-9.407270995509267
1.681339446180569e+01	1.499512575482415e+01	2.432341277195714e+01	7.363616212543247	-9.407220059395069
1.681120242910679e+01	1.499561497805410e+01	2.432575154831504e+01	7.365832165624454	-9.407170986345603
1.680900439038818e+01	1.499610420128405e+01	2.432809229456445e+01	7.368051202091103	-9.407119427566544
1.680682317570872e+01	1.499659342451399e+01	2.433042203079444e+01	7.370259310914755	-9.407068994893518
